Abbaszadegan, Morteza
Buchsbaum, Robert
Buck, Moritz
Buck, Chris
Buck, Jeanmarie
Buckley, Yvonne M
Buckley Borden, David
Budruk, Megha
Budy, Phaedra
Budzynska, Agnieszka
Buelo, Cal D  --> Cal | Cal D
Buelow, Heather
Bueno de Mesquita, Clifton P  --> Cliff P | Clifton | Clifton P
Buffam, Ishi
Buffington, Matthew L
Bugalho, Miguel  --> M N | Miguel
Bull, Diana L
Bullington, Lorinda S
Bulseco-McKim, Ashley
Bulut, Cafer
Burdett, Ayesha
Burdi, Christina E  --> Christina | Christina E
Burdick, Jacob M
Burgess, Scott
Burk, John
Burke, Constance J
Burke, E
Burke, Samantha M  --> Samantha | Samantha M
Burke, Ingrid  --> Indy | Ingrid
Burkepile, Deron
Burns, Christine
Burns, Elizabeth K
Burt, Melissa A
Burton, Andrew
Busby, Posy
Bushnell, John H
Buso, Donald C  --> Don | Donald C
Butitta, Vince
Butler, Brett
Butman, David
Butterfield, H Scott
Buyantuyev, Alexander  --> Alex | Alexander
Buzby, Karen
Byrnes, Jarrett Edward  --> Jarrett | Jarrett Edward
Cable, William L
Cabot, Perry
Cadenasso, Mary L
Cadotte, Marc W  --> M W | Marc | Marc W
Cai, Wei-Jun
Caine, T Nelson (Nel)  --> Nel | Nelson | T Nelson (Nel)
Caldeira, Maria C  --> M C | Maria | Maria C
Calderon, Francisco
Calef, Monika P
Camacho, Antonio
Camacho-Ibar, V
Camerlo, Rion
Campana, S
Campbell, James A
Campbell, Kylie L
Campbell, Watson D
Campbell, Robert
Campbell, John L
Campbell, John L  --> John | John L
Campos-Cerqueira, Marconi
Canale, Raymond  --> Ray | Raymond
Candeias, Matt
Canham, Charles
Cann, Matthew
Cantrell, Sharon
Capkin, Kadir
CaraDonna, Paul J
Carballeira, Rafael
Carbone, Mariah
Cardenas, Pablo
Cardenas, Bayani
Cardille, Jeffrey
Cardinale, Bradley Joseph
Cardona-Olarte, Pablo
Carey, Joanna
Carey, Cayelan C  --> Cayelan | Cayelan C
Carlo, Tomas
Carlson, Joel
Carlson, Charles
Carlson, Craig A  --> Craig | Craig A
Carpenter, Ryan
Carpenter, Robert
Carpenter, Stephen R  --> Stephen | Stephen R
Carrara, Joseph E
Carreiro, Margaret
Carroll, Lindsay
Carroll, George C
Carson, Christine
Carter, Dan
Casagrande, David
Casby, Amanda
Caselle, Jenn
Cassar, Nicolas
Casson, Nora
Castaneda, Edward
Castendyk, Devin
Casteneda Ruvalcaba, Itzel P
Castorani, Max C N
Castorani, Max C N  --> Max C N | Max CN
Castro, Enrique
Catalan, Nuria
Catena, John
Catford, Jane
Catlett, Dylan
Catovsky, Sebastian
Caughlin, Trevor
Cavanaugh, Kyle C
Cavender-Bares, Jeannine  --> Jeanine | Jeannine
Cawley, Kaelin
Ceausu, Silvia
Celestian, Sarah
Celik, Kemal
Celis, Gerardo
Cerasino, Leonardo
Cereijo, Jose-Luis
Cerveny, Niccole Villa
Cesur, Mehmet
Chacon, Stephany S
Chai, Rachel K
Chakalian, Paul
Chambers, Randy
Chamblee, John F
Champ, Julien
Chan, Andy
Chandler, Jennifer
Chandra, Sudeep
Chaneton, Enrique J
Chang, Ed-Haun
Chang, Chaoyi
Chapela Lara, Maria
Chapin, Terry
Chapin, FS Stuart  --> F Stuart | FS Stuart
Chapline, William
Chapman, Andy
Charney, Noah
Chase, Jonathan
Chaverri, Luis G
Cheeck, James
Chekalyuk, Alexander
Chen, Chiou-Pin
Chen, Min
Chen, G
Chen, Yuwei
Chen, Youchao
Chen, Shengyang
Chen, Ann
Chen, Angus
Cheng, Ellen
Cheng, Selina L  --> Selina | Selina L
Cherry, Jessica
Cheruvelil, Kendra S  --> Kendra | Kendra S
Chesson, Peter
Chester, Mikhail
Chignell, Stephen
Childers, Daniel L  --> Dan | Daniel | Daniel L
Chilton, Elizabeth
Chin, Nathan A
Chiou, Chyi-Rong
Chiu, Chih-Yu
Chmura, Damian
Chmura, Helen
Choens, Robert Charles
Chomova, Lucia
Chorazyczewski, Adam
Chou, Chiao-Ying
Chow, Winston
Chowanski, Kurt
Christel, Samuel
Christensen, Erica
Christenson, Lynn
Christian, Robert
Christianen, Marjolijn J A
Christianson, Kyle
Christoffersen, Kirsten Seestern
Chung, Y Anny  --> Anny | Y Anny
Churchill, Amber
Ciais, Philippe
Cichosz, Thomas
Cillero-Castro, Carmen
Cinar, Sakir
Clare, Ryan M
Clark, Kevin B
Clark, James S
Clark, James
Clarkson, Charles
Classen, Aimee T  --> Aimee | Aimee T
Cleavitt, Natalie
Cleckner, Lisa
Clein, Joy S
Cleland, Elsa E
Clilverd, Hannah M
Cline, Lauren
Cline, Albert  --> Al | Albert
Cline, Donald  --> Don | Donald
Clinton, Barton D
Clymans, Wim
Clyne, Ailis
Coble, Ashley A
Cobourn, Kelly M
Coelho, Nelson C
Cogbill, Charles
Cohen, Jonathan
Colburn, Elizabeth
Cole, Jonathan  --> Jon | Jonathan
Coleman, Daniel
Coleman, David C
Collado-Vides, Ligia
Collinge, Sharon K
Collins, Adam D
Collins, Bridget
Collins, Sarah M  --> Sarah | Sarah M
Collins, Scott L  --> Scott | Scott L
Colman, Daniel
Colom-Montero, William
Comendant, Tosha L
Comer, Kiernan
Commane, Roisin
Conaway, C H
Condon, Bradford
Congdon, Victoria
Conley, Shannon
Conley, Daniel
Conlin, Molly R
Connell, Kent
Conner, William H
Connolly, Brian
Connolly, Craig T
Connors, John
Conord, Cyrille
Conrad-Rooney, Emma
Conroy, Joe
Conroy, Jack
Constant, Nerine
Contador, Tamara A
Contreras, Dave
Converse, Rowan L
Convey, Peter
Conway, Alexandra  --> Alexandra | Alix
Cook, Elizabeth M
Cook, John R
Cook, Terry
Cooper, Daniel
Cooper, Scott D  --> Scott | Scott D
Corman, Jessica R  --> Jessica | Jessica R
Coronado, Carlos A
Correa, A
Corrigan, Rachel S
Corson-Rikert, Hayley
Cory, Rose
Costa, James T
Costa, Duane
Costa, Scott
Costa, Duane
Costello, Rosana A
Cotrufo, M Francesca
Cottingham, Kathryn L
Cottrell, Matthew
Coull, Bruce
Courtney, Gregory
Cousins, Jamaica
Covich, Alan
Cowie, Rory M
Cox, Aneliya
Cozzetto, Karen
Craft, Christopher B
Craig, Michael
Cramer, Alli N
Crank, Peter
Crate, Sarah
Crawford, Brandon
Crawford, John
Cregger, Melissa
Crerar, Lorelei
Crill, Patrick
Crone, Elizabeth
Cronk, Kevin
Crosby, Benjamin T  --> Benjamin | Benjamin T
Cross, Anne
Crowl, Todd
Crowley, Katherine F
Crowther, Thomas
Crummer, Kathryn G
Crump, Byron C  --> Byron | Byron C
Crumpton, William
Cruz, C
Cunha, Thiago A
Cunningham, Gary
Curtinrich, Holly J
Curtis, John Bryan  --> John B | John Bryan
D, Frank
Dahm, Clifford
Dailey, Susan
Daleo, Pedro
Daley, Raymond  --> R K | Raymond
Dallaire, Thomas
Dalton, Shawn
Daly, Robert
Daly, Christopher
Damon, Lauren
Damschen, Ellen I  --> Ellen | Ellen I
Daniel, Debbie
Darby, Bridget A
Darling, Joshua
Daru, Barnabas
Daryl Moorhead, Daryl
Das, Arpita
Dashner-Titus, Erica J
Dastan, Christopher
Dauhajre, Daniel P
Davey, Earl
Davidson, Eric
Davidson, Ana
Davies, Scott
Davies, Kenneth
Davies, Stuart
Davinroy, Tom
Davis, Kira
Davis, Samantha
Davis, Robert
Davis, Frank W
Davis, Brittany
Davis, Ashley
Davis, Charles
Day, Thomas
Day, Frank
Dayton, Paul K
de Albuquerque, Fabio
de Eyto, Elvira
de Graaff, Marie-Anne
de Senerpont Domis, Lisette
Deacon, Nicholas
DeAngelis, Kristen
Deas, Michael
Deaton, Charles
Debinski, Diane
Declet-Barreto, Juan
Dee, Laura
Deegan, Linda
Deemer, Bridget
DeForest, Jared L
DeGasperi, Curtis L
DeGasperis, Brian
Degrassi, Allyson
Dehring, Carolyn
Del Giorgio, Paul A
Del Toro, Israel
Delany, Austin D
Delgado Martin, Jordi
DelVecchia, Amanda
DeMarco, Jennie
Demers, Charlotte
Demir, Nilsun
Dempsey, Christopher M
Den Uyl, James H
Denfeld, Blaize A
deNoyelles, Jerry
Denslow, Julie S
Derry, Alison M  --> Alison | Alison M
Desai, Ankur R  --> Ankur | Ankur R
DeSilva, Tere
DeStefano, Stephen
Detling, James
Deviche, Pierre
Devlin, Donna
Devlin, Shawn P
Di Iorio, Daniela
Di Marco, Rodolfo
Diamond, Jacob S
Diaz, Cynthia Grace
Dickie, Ian
Dickman, C R
Dickson, T L
Diebel, Matthew
Diehl, Rebecca M
Diemer, Laura
Dietze, Michael
Dillon, Robert
Diskson, Timothy L
Dissing, Dorte
Dix, Margaret A
Dixon, Mark D
Dixon, John Douglas
Doak, Patricia
Dodds, Walter K  --> Walter | Walter K
Dodson, Stanley
Doheny, Brandon
Dokulil, Martin T  --> Martin | Martin T
Dolan, Robert
Domek, Piotr
Domysheva, Valentina M
Donahue, Brian
Dong, Bo
Dong, Xiaoli
Donohue, I
Donohue, Kathleen
Doo, Steve
Dooley, James
Doran, Peter
Dosch, Nicholas T
Doubek, Jonathan P  --> Jonathan | Jonathan P
Doucette, Dianna
Douglas, Sarah
Douglas, Thomas A
Dowling, Carolyn
Downing, Jason
Downing, John
Downs, Robert R
Downs, Martha R
Drake, Michael
Drake, John
Drake, John E  --> John | John E
Drastichova, Iveta
Drewa, Paul
Dreyer, Jamin
Driscoll, Charles T  --> Charles | Charles T
Drossman, Howard
Du Preez, Chris C
Duarte, Danielle A
Ducey, Mark
Ducklow, Hugh
Dudgeon, Steve R
Duerr, Ruth
Dueser, Raymond
Duffy, Paul
Duffy, Christopher
Dugan, Jenifer E
Dugan, Hilary A  --> Hilary | Hilary A
Duguay, Claude
Dukett, James
Dunalska, Julita
Duniway, Michael  --> Michael | Mike
Dunn, Robert
Dunn, Allison
Dunton, Kenneth H
Duran, Jorge
Duranleau, Deena
Duszyinski, Don
Duvall, Melissa
Duveneck, Matthew
Dwyer, John M
Dykema, Stephanie
Dymond, Salli F
Dyrness, C Ted
Dzyuban, Yuliya
Eagar, Chris
Earl, Stevan R  --> Stevan | Stevan R
Eberhard, Erin K
Ebert, Thomas
Ebert, Chris H
Ebert-May, Diane
Edelman, Andrew
Edgar, Colin
Edmonds, Jennifer
Edmunds, Peter
Edwards, Christine
Edwards, Hailee L
Edwards, Vincent
Edwards, Mary
Effler, Steven W
Eiche, Andrew
Eichhorst, Kim D  --> Kim | Kim D
Eichler, Lawrence W  --> Larry W | Lawrence W
Einarsson, Arni
Eisenhauer, Nico
Eisneman, David
El Hayek, Eliane
Elahi, Robin
Elersek, Tina
Elias, Scott
Elling, Arthur E
Elliott, Katherine
Ellis, Daniel
Ellison, Aaron
Elmendorf, Sarah
Elsner, Cobb
Elwood, Kelsey K
Embke, Holly S  --> Holly | Holly S
Emery, Kyle
Emmingham, William H
Eneboe, Jason
Engel, Vic
English, Chance J
Enquist, Brian
Epting, Justin
Erickson, Tyler A  --> Tyler | Tyler A
Erina, Oxana
Erisman, Brad
Erly, Kate
Ernest, Morgan
Erwin, R
Eskelinen, Anna  --> A | Anna | Anu
Eugster, Werner
Euskirchen, Eugenie S  --> Eugenie | Eugenie S
Evans, Daniel
Evans, Ann
Evans, Daniel
Evelyn, Gaiser
Evensen, Nicolas
Everham, Edwin
Everly, Kylie M
Ewert, Jason
Ewing, Kye
Ewing, Holly A
Faassen, Elisabeth J
Fady, Bruno
Fagan, William
Fagherazzi, Sergio
Fahey, Robert T
Fahey, Timothy J  --> Tim | Timothy | Timothy J
Fahrig, Lenore
Faison, Edward
Faist, Akasha M
Fakhraee, Mojtaba
Fakioglu, Ozden
Falkowski, Michael J
Fang, Wei
Fantozzi, Kevin
Fargione, Joe
Farnsworth, Elizabeth
Farrand, Alex M
Farrell, John M
Farrell, Kaitlin J
Farrell, Jeremy L
Farrer, Emily C
Fastie, Christopher L
Fastner, Jutta
Fathauer, Ted
Faust, Ed
Fay, Philip A
Fazekas, Hannah M
Feagin, Russell
Feierabend, Dashiell Sheene
Feijoo, Claudia S
Feldmann, Tonu
Feldsine, Natalie A  --> Natalie | Natalie A
Feller, Bob
Fenster, Michael
Fergus, C Emi  --> C | C Emi | CEmi | Emi
Fernandes, Arnold
Fernandez, Ivan J
Fernandez-Moran, Elisabeth
Fernando, H Joe
Ferriol, Carmen
Fetcher, Ned
Feuchtmayr, Heidrun
Fey, Samuel
Fiala McIntosh, Anne CS
Fichot, Cedric
Fichter, June R
Fick, Jerker
Field, Rebecca
Fierer, Noah
Figueiredo, Renato J
Filazzola, Alex
Filbert, Jennifer
Filiz, Nur
Fillingim, Hope
Filstrup, Christopher  --> Chris | Christopher
Finger, Rebecca A
Finical, Leslie
Finlay, Jacques
Finley, Andrew
Finney, Bruce P
Finzi, Adrien
Firn, Jennifer  --> J L | Jennifer
Fisher, Mark
Fisher, Janet M
Fisher, Stuart
Fisher, Fred
Fisher, Richard
Fisk, Melany
Fitch, Henry S
Fitch, Amelia A
FitzGerald, Duncan
Fitzhugh, Ross
Fitzjarrald, David
Fitzpatrick, Matthew  --> Matt | Matthew
Fjare, Dana
Flaim, Giovanna
Flandrick, Nancy
Fleck, Rachel
Fletcher, Robert J
Flores, Natalie M
Flores, Alejandra
Flory, S Luke
Fluet-Chouinard, Etienne
Flynn, Dan
Fogarty, Natalie K
Fokidis, Bobby H  --> Bobby | Bobby H
Foley, Catherine M
Fong, Caitlin R
Fong, Peggy
Fong, Elizabeth
Fonvielle, Jeremy
Foote, M Joan Joan
Forbrich, Inke
Forester, Anna
Fork, Megan L  --> Megan | Megan L
Forkner, Rebecca E
Forrester, Chiara C  --> Chiara | Chiara C
Foster, David
Foster, Matthew
Foster, Bryan
Foster, Adrianna C
Foster, David
Fountain, Andrew
Fourqurean, James W  --> James | James W
Foust, Christy M
Fox, Peter
Frady, Charles H
Frak, Magdalena
Francis, Donna
Franklin, Jerry F
Frankova, Marketa
Frankovich, Thomas
Fraser, Andrew
Fraser, Olivia
Fraser, William
Fraser, James
Fraterrigo, Jennifer M  --> Jennifer | Jennifer M
Fratta, Dante O
Frederick, Zandon A
Fredriksen, Richard L
Freedman, Zachary B
Frentress, Jason JB
Frey, Sarah J K
Frey, Matthew Dean
Frey, Serita D  --> Serita | Serita D
Frick, Madeleine A
Friedl, Mark
Friedlaender, Ari
Frisch, John
Frost, Thomas
Frye, Jonathan
Fuentes, Jose
Fuller, Lori
Fuller, Nathan
Fuller, Janice
Fulweiler, Robinson W  --> Robinson | Robinson W
Funk, Alexander
Furedi, Mary Ann
Furry, Kim
Furze, Morgan
Fuss, Colin B
Gaeta, Jereme W  --> Jereme | Jereme W
Gagala, Ilona
Gahler, Mark
Gaiser, Evelyn E  --> Evelyn | Evelyn E
Galef, Jeff
Galletti, Christopher S
Galloway, James
Galloway, Aaron W E
Galvez, Jose Angel
Ganan, Melisa
Ganger, Michael T
Gannon, Dustin
Gannon, John
Garcia, David
Garcia-Murcia, Ana
Gard, Richard  --> R | Richard
Gardner, Robert
Gardner, Chris
Garland, Carey J
Garlick, Sarah
Garman, Steven L
Garnello, Anthony J
Garretson, Alexis C  --> Alexis | Alexis C
Garretson, Frances
Garritt, Hap
Garzella, Craig
Gasarch, Eve I
Gastil-Buhl, Gastil  --> Gastil | M
Gates, Michael W
Gawley, Bill
Gaynus, Camille J
Gehman, Alyssa
Geist, Simon
Gendron, Eli Michael Sokol
George, Scott
George, Lisa
Georgiou, Katerina
Gerber, Stefan
Gergel, Sarah E
Geris, Rodan
Gerling, Alexandra B
Gerstner, Katharina
Getson, Jackie
Ghazian, Nargol
Gherardi, Laureano A  --> Laureano | Laureano A
Gholz, Henry L
Giasson, Marc-Andre
Gibbens, Robert
Giblin, Anne
Gido, Keith
Giglia, Sheryl K
Gilbert, Morgan
Gill, Nathan S
Gill, Allison
Gillen, Megan
Gillette, Dale
Gilman, Casey
Ginther, Sam
Girdner, Scott F
Giuliani, Gregory
Gkelis, Spyros
Glazner, Rachael M
Gleeson, Scott
Gligora Udovic, Marija
Gober, Patricia
Goddard, Jeffrey HR
Godsey, Sarah
Goeke, Janelle A
Goericke, Ralf
Goethals, Peter
Goetz, Scott J
Golden, Heidi
Goldenheim, William
Goldfarb, Sadye K
Goldstein, Miriam
Goldstein, Guillermo
Goldstein, Evan
Goldyn, Ryszard
Goma, Joan
Gomez, Jesus
Gomez-Roxas, Proserpina
Goncalves, Vitor
Gonzales, Daniel
Gonzalez, Eugenio
Gonzalez, Grizelle
Gonzalez, Maria J  --> Maria | Maria J
Goodale, Christine L  --> Christine | Christine L
Gooden, Michael K
Goodman, Jo Anna
Goodridge, Blair M
Gooseff, Michael
Goralnik, Lissy
Gorman, Kristen
Gorsky, Adrianna L  --> Adrianna | Adrianna L
Gosz, James  --> James | Jim
Gotelli, Nicholas  --> Nicholas | Nick
Gotschalk, Chris
Gottlieb, Elaine
Gough, Christopher
Gough, Laura
Gould, Ernest
Gouttevin, I
Grabowska, Magdalena
Graf, William L  --> Will | William L
Graff, P
Gragson, Ted
Graham, Jim
Graham, Jeremy A
Grandy, A S
Grant, Gordon E
Gratton, Claudio
Gray, Sarah M
Gray, Jeff
Gray, Derek
Greathouse, Effie A
Greb, Steven
Green, Mark B  --> Mark | Mark B
Greenfield, Ben
Greenland, David
Gregory, Stanley V
Greiner, Jill
Grella, Rebecca
Greyson-Gaito, Christopher J
Grier, Shalanda
Gries, Corinna
Griffin, Paul C
Griffin, Kevin L  --> Kevin | Kevin L
Griffiths, Robert P
Griffiths, Natalie A  --> Natalie | Natalie A
Grimm, Nancy B  --> Nancy | Nancy B
Griswold, Terry L
Groffman, Peter M  --> Peter | Peter M
Gross, Avner
Gross, Katherine L  --> Katherine | Katherine L | Kay
Grossart, Hans-Peter
Grossman, Jacob  --> Jacob | Jake
Grossman, Gary D
Grossman-Clarke, Susanne
Grove, Morgan J  --> Morgan | Morgan J
Grover, Herb
Gruner, D S
Grzesik, Emilia J
Guerard, Jennifer
Guerrieri, Rossella
Guilinger, James J
Guillocheau, Nathalie
Gulick, Alexandra G
Gullett, Poppie
Gunnell, John
Gunsch, Matthew
Guntenspergen, Glenn
Guo, Hongyu
Guo, Qinghua
Gurevitch, Jessica
Gurjao de Oliveira, Alinne
Gutierrez del Arroyo Santiago, Omar
Gutierrez-Fonseca, Pablo
Haande, Sigrid
Haarstad, John
Hacker, Sally D  --> Sally | Sally D
Hackett, Edward
Hackworth, Zachary J
Haddad, Liana
Haddad, Nicholas  --> Nicholas | Nick | Nick M
Hadley, Sarah J K Frey
Hadley, Julian
Hagen, Jackie
Hagenah, Nicole
Haggqvist, Kerstin
Haider, Sylvia
Haines, Bruce R
Halbur, Michelle M
Hale, Katherine E
Hale, Rebecca L  --> Rebecca | Rebecca L
Halewood, Stuart
Halewood, Elisa Walner  --> Elisa R | Elisa Walner
Halfman, John
Halfpenny, Jim
Hall, Kristofer M
Hall, Steven J
Hall, Brian
Hall, Charles AS
Hall, Nathan S  --> Nathan | Nathan S
Hall, Sharon
Hallett, Richard A
Hallett, Lauren M  --> Lauren | Lauren M
Hallmark, Alesia J
Hallworth, Michael
Hally, David J
Halpern, Charles B
Halpin, Anne
Hambright, K David
